degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN COMPUTER TECHNOLOGY,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY),910,104,1246208,MURANGA UNIVERSITY OF TECHNOLOGY,,24.545,24.882,25.332,25.651,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER TECHNOLOGY,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY),911,104,1249208,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,42.074,39.288,37.436,38.203,38.268,38.382,28.621
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1029,128,1485232,UMMA UNIVERSITY,,,,,22.272,19.481,19.223
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1075,132,1087236,KISII UNIVERSITY,34.512,25.107,25.47,24.123,24.209,25.43,22.946
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1076,132,1111232,KENYATTA UNIVERSITY,42.344,39.523,38.015,38.617,39.304,35.758,38.607
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1077,132,1166232,SOUTH EASTERN KENYA UNIVERSITY,33.58,23.926,,23.636,23.457,22.617,19.223
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1030,128,1082232,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,34.67,31.823,29.351,30.109,30.45,31.074,30.486
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1031,128,1091232,TAITA TAVETA UNIVERSITY,23.0,23.165,,22.445,22.859,19.481,19.223
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1032,128,1103232,KCA UNIVERSITY,23.65,23.402,23.501,25.544,27.283,24.083,25.077
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1033,128,1108232,KIBABII UNIVERSITY,32.509,26.045,23.291,25.699,23.035,25.094,19.223
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1034,128,1118232,UNIVERSITY OF KABIANGA,31.121,24.321,24.511,24.717,25.528,25.676,27.635
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1035,128,1169232,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,23.0,,,23.048,22.343,19.481,19.223
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1036,128,1170232,MACHAKOS UNIVERSITY,31.7,26.623,28.773,27.392,28.043,28.923,29.082
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1037,128,1229232,MASENO UNIVERSITY,37.525,33.932,32.682,29.4,30.768,31.732,29.849
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1038,128,1515232,TOM MBOYA UNIVERSITY COLLEGE,,24.349,,22.897,22.618,19.481,19.223
BACHELOR OF SCIENCE (INFORMATICS),MAT A,PHY,BIO,BIO,,MAT A: C,RONGO UNIVERSITY,BACHELOR OF SCIENCE (INFORMATICS),1553,271,1073428,RONGO UNIVERSITY,23.0,25.955,,22.708,25.19,19.481,19.223
BACHELOR OF SCIENCE (INFORMATICS),MAT A,PHY,BIO,BIO,,MAT A: C,RONGO UNIVERSITY,BACHELOR OF SCIENCE (INFORMATICS),1554,271,1253428,MOI UNIVERSITY,39.113,32.866,31.931,28.381,29.401,22.864,19.223
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1029,128,1485232,UMMA UNIVERSITY,,,,,22.272,19.481,19.223
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1075,132,1087236,KISII UNIVERSITY,34.512,25.107,25.47,24.123,24.209,25.43,22.946
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1076,132,1111232,KENYATTA UNIVERSITY,42.344,39.523,38.015,38.617,39.304,35.758,38.607
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1077,132,1166232,SOUTH EASTERN KENYA UNIVERSITY,33.58,23.926,,23.636,23.457,22.617,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1039,128,1061232,KABARAK UNIVERSITY,25.405,23.745,23.899,24.843,25.562,25.715,22.785
